feature,category,dtype,nonnull%,mean,std,min,median,max,used_g1,used_g2,used_g3
gfs_80m_v_idw,1b.GFS풍속,float64,100.0,0.422,1.856,-16.24,0.466,16.335,,,
gfs_80m_v_nearest,1b.GFS풍속,float64,100.0,0.46,1.893,-15.356,0.486,16.894,Y,Y,Y
gfs_pbl_speed_idw,1b.GFS풍속,float64,100.0,4.603,5.025,0.014,2.514,36.043,Y,Y,Y
gfs_pbl_speed_mean,1b.GFS풍속,float64,100.0,4.398,4.153,0.371,2.785,31.937,Y,Y,Y
gfs_pbl_u_idw,1b.GFS풍속,float64,100.0,3.149,5.4,-27.369,1.663,35.998,Y,Y,Y
gfs_pbl_u_nearest,1b.GFS풍속,float64,100.0,3.383,5.719,-27.924,1.767,37.915,,Y,Y
gfs_pbl_v_idw,1b.GFS풍속,float64,100.0,0.397,2.683,-26.318,0.43,28.466,,,
gfs_pbl_v_nearest,1b.GFS풍속,float64,100.0,0.463,2.768,-25.77,0.464,29.518,,,
gfs_100m_dir_cos,2.풍향,float64,100.0,-0.063,0.569,-1.0,-0.113,1.0,,,
gfs_100m_dir_deg,2.풍향,float64,100.0,204.033,92.424,0.06,246.162,359.979,,,Y
gfs_100m_dir_sin,2.풍향,float64,100.0,-0.412,0.709,-1.0,-0.84,1.0,Y,Y,
gfs_10m_dir_cos,2.풍향,float64,100.0,-0.075,0.57,-1.0,-0.153,1.0,,Y,Y
gfs_10m_dir_deg,2.풍향,float64,100.0,207.743,90.95,0.052,247.174,359.997,,,Y
gfs_10m_dir_sin,2.풍향,float64,100.0,-0.435,0.693,-1.0,-0.844,1.0,,Y,
gfs_80m_dir_cos,2.풍향,float64,100.0,-0.064,0.57,-1.0,-0.117,1.0,,Y,
gfs_80m_dir_deg,2.풍향,float64,100.0,204.422,92.412,0.012,246.443,360.0,,,
gfs_80m_dir_sin,2.풍향,float64,100.0,-0.416,0.705,-1.0,-0.842,1.0,,Y,
gfs_pbl_dir_cos,2.풍향,float64,100.0,-0.041,0.563,-1.0,-0.103,1.0,,,
gfs_pbl_dir_deg,2.풍향,float64,100.0,211.282,91.531,0.14,251.05,359.986,,,
gfs_pbl_dir_sin,2.풍향,float64,100.0,-0.465,0.682,-1.0,-0.883,1.0,,,
ldaps_10m_dir_cos,2.풍향,float64,100.0,-0.074,0.434,-1.0,-0.096,1.0,,Y,Y
ldaps_10m_dir_deg,2.풍향,float64,100.0,209.538,85.373,0.007,256.666,359.942,,,Y
ldaps_10m_dir_sin,2.풍향,float64,100.0,-0.412,0.798,-1.0,-0.956,1.0,,,
gfs_100m_power_curve_idw,3.파워커브,float64,100.0,0.073,0.216,0.0,0.0,1.0,,,Y
gfs_10m_power_curve_idw,3.파워커브,float64,100.0,0.009,0.052,0.0,0.0,1.0,,,
gfs_80m_power_curve_idw,3.파워커브,float64,100.0,0.062,0.197,0.0,0.0,1.0,,,
gfs_pbl_power_curve_idw,3.파워커브,float64,100.0,0.141,0.317,0.0,0.0,1.0,,,
ldaps_10m_power_curve_idw,3.파워커브,float64,100.0,0.079,0.185,0.0,0.004,1.0,Y,Y,Y
ldaps_blh_idw,4a.LDAPS스칼라,float64,100.0,341.273,283.676,27.444,223.979,2938.184,Y,Y,Y
ldaps_blh_nearest,4a.LDAPS스칼라,float64,100.0,346.391,297.238,20.485,223.549,3010.829,Y,Y,Y
ldaps_sp_idw,4a.LDAPS스칼라,float64,100.0,90299.257,518.309,87721.703,90328.128,91824.936,Y,Y,Y
ldaps_sp_nearest,4a.LDAPS스칼라,float64,100.0,90087.318,514.272,87548.31,90116.39,91592.63,Y,Y,Y
ldaps_t2m_idw,4a.LDAPS스칼라,float64,100.0,280.877,10.665,249.951,282.036,302.191,Y,Y,Y
ldaps_t2m_nearest,4a.LDAPS스칼라,float64,100.0,280.655,10.716,249.708,281.85,302.038,Y,Y,Y
gfs_dswrf_idw,4b.GFS스칼라,float64,100.0,178.372,243.687,0.0,41.037,937.06,Y,Y,Y
gfs_dswrf_nearest,4b.GFS스칼라,float64,100.0,178.044,244.691,0.0,39.85,938.32,Y,Y,Y
gfs_sp_idw,4b.GFS스칼라,float64,100.0,93446.028,563.868,91172.404,93485.791,95090.361,,,
gfs_sp_nearest,4b.GFS스칼라,float64,100.0,92800.234,550.175,90569.836,92837.923,94432.56,,,
gfs_t2m_idw,4b.GFS스칼라,float64,100.0,282.523,10.512,252.41,283.233,305.685,,,
gfs_t2m_nearest,4b.GFS스칼라,float64,100.0,282.23,10.605,251.87,282.866,306.1,,,
gfs_tcc_idw,4b.GFS스칼라,float64,100.0,56.646,41.74,0.0,70.457,100.0,Y,Y,Y
gfs_tcc_nearest,4b.GFS스칼라,float64,100.0,56.758,43.394,0.0,72.9,100.0,Y,Y,Y
lead_hour,5.기타,int64,100.0,12.5,6.922,1.0,12.5,24.0,Y,Y,Y
gfs_100m_power_curve_idw_roll_mean_12h,6.시간구조(lag/rolling),float64,100.0,0.07,0.186,0.0,0.0,1.0,,,
gfs_100m_power_curve_idw_roll_mean_24h,6.시간구조(lag/rolling),float64,100.0,0.065,0.173,0.0,0.0,1.0,,,
gfs_100m_power_curve_idw_roll_mean_3h,6.시간구조(lag/rolling),float64,100.0,0.073,0.21,0.0,0.0,1.0,,,
gfs_100m_power_curve_idw_roll_mean_6h,6.시간구조(lag/rolling),float64,100.0,0.073,0.202,0.0,0.0,1.0,,,
gfs_100m_power_curve_idw_roll_std_12h,6.시간구조(lag/rolling),float64,95.8,0.041,0.097,0.0,0.0,0.637,,,
gfs_100m_power_curve_idw_roll_std_24h,6.시간구조(lag/rolling),float64,95.8,0.045,0.102,0.0,0.0,0.637,,,
gfs_100m_power_curve_idw_roll_std_3h,6.시간구조(lag/rolling),float64,95.8,0.018,0.057,0.0,0.0,0.637,,,
gfs_100m_power_curve_idw_roll_std_6h,6.시간구조(lag/rolling),float64,95.8,0.03,0.078,0.0,0.0,0.637,,,
gfs_100m_speed_idw_roll_mean_12h,6.시간구조(lag/rolling),float64,100.0,3.75,2.785,0.054,2.936,23.902,Y,,Y
gfs_100m_speed_idw_roll_mean_24h,6.시간구조(lag/rolling),float64,100.0,3.68,2.667,0.054,2.911,23.902,,Y,Y
gfs_100m_speed_idw_roll_mean_3h,6.시간구조(lag/rolling),float64,100.0,3.793,2.974,0.054,2.922,24.172,Y,Y,
gfs_100m_speed_idw_roll_mean_6h,6.시간구조(lag/rolling),float64,100.0,3.793,2.912,0.054,2.93,23.902,Y,Y,Y
gfs_100m_speed_idw_roll_std_12h,6.시간구조(lag/rolling),float64,95.8,0.799,0.773,0.0,0.54,7.219,,,
gfs_100m_speed_idw_roll_std_24h,6.시간구조(lag/rolling),float64,95.8,0.874,0.849,0.0,0.593,7.888,,,
gfs_100m_speed_idw_roll_std_3h,6.시간구조(lag/rolling),float64,95.8,0.4,0.418,0.0,0.269,5.387,,,
gfs_100m_speed_idw_roll_std_6h,6.시간구조(lag/rolling),float64,95.8,0.605,0.59,0.0,0.412,6.692,,,
gfs_10m_power_curve_idw_roll_mean_12h,6.시간구조(lag/rolling),float64,100.0,0.008,0.043,0.0,0.0,1.0,,,
gfs_10m_power_curve_idw_roll_mean_24h,6.시간구조(lag/rolling),float64,100.0,0.007,0.039,0.0,0.0,1.0,,,
gfs_10m_power_curve_idw_roll_mean_3h,6.시간구조(lag/rolling),float64,100.0,0.009,0.051,0.0,0.0,1.0,,,
gfs_10m_power_curve_idw_roll_mean_6h,6.시간구조(lag/rolling),float64,100.0,0.009,0.048,0.0,0.0,1.0,,,
gfs_10m_power_curve_idw_roll_std_12h,6.시간구조(lag/rolling),float64,95.8,0.006,0.027,0.0,0.0,0.465,,,
gfs_10m_power_curve_idw_roll_std_24h,6.시간구조(lag/rolling),float64,95.8,0.007,0.029,0.0,0.0,0.467,,,Y
gfs_10m_power_curve_idw_roll_std_3h,6.시간구조(lag/rolling),float64,95.8,0.003,0.014,0.0,0.0,0.406,,,
gfs_10m_power_curve_idw_roll_std_6h,6.시간구조(lag/rolling),float64,95.8,0.005,0.021,0.0,0.0,0.44,,,
gfs_10m_speed_idw_roll_mean_12h,6.시간구조(lag/rolling),float64,100.0,2.386,1.46,0.025,2.038,13.705,Y,Y,Y
gfs_10m_speed_idw_roll_mean_24h,6.시간구조(lag/rolling),float64,100.0,2.344,1.39,0.025,2.022,13.705,Y,,Y
gfs_10m_speed_idw_roll_mean_3h,6.시간구조(lag/rolling),float64,100.0,2.398,1.577,0.025,2.045,13.705,Y,Y,Y
gfs_10m_speed_idw_roll_mean_6h,6.시간구조(lag/rolling),float64,100.0,2.402,1.537,0.025,2.051,13.705,Y,Y,Y
gfs_10m_speed_idw_roll_std_12h,6.시간구조(lag/rolling),float64,95.8,0.484,0.412,0.0,0.377,3.865,,,
gfs_10m_speed_idw_roll_std_24h,6.시간구조(lag/rolling),float64,95.8,0.519,0.445,0.0,0.41,4.091,Y,Y,
gfs_10m_speed_idw_roll_std_3h,6.시간구조(lag/rolling),float64,95.8,0.245,0.228,0.0,0.179,2.857,,,Y
gfs_10m_speed_idw_roll_std_6h,6.시간구조(lag/rolling),float64,95.8,0.371,0.318,0.0,0.284,3.721,,,
gfs_80m_power_curve_idw_roll_mean_12h,6.시간구조(lag/rolling),float64,100.0,0.059,0.169,0.0,0.0,1.0,,,
gfs_80m_power_curve_idw_roll_mean_24h,6.시간구조(lag/rolling),float64,100.0,0.055,0.156,0.0,0.0,1.0,,,
gfs_80m_power_curve_idw_roll_mean_3h,6.시간구조(lag/rolling),float64,100.0,0.062,0.192,0.0,0.0,1.0,,,
gfs_80m_power_curve_idw_roll_mean_6h,6.시간구조(lag/rolling),float64,100.0,0.062,0.184,0.0,0.0,1.0,,,
gfs_80m_power_curve_idw_roll_std_12h,6.시간구조(lag/rolling),float64,95.8,0.037,0.092,0.0,0.0,0.707,,,
gfs_80m_power_curve_idw_roll_std_24h,6.시간구조(lag/rolling),float64,95.8,0.04,0.097,0.0,0.0,0.707,,,
gfs_80m_power_curve_idw_roll_std_3h,6.시간구조(lag/rolling),float64,95.8,0.016,0.054,0.0,0.0,0.707,,,
gfs_80m_power_curve_idw_roll_std_6h,6.시간구조(lag/rolling),float64,95.8,0.027,0.074,0.0,0.0,0.707,,,
gfs_80m_speed_idw_roll_mean_12h,6.시간구조(lag/rolling),float64,100.0,3.575,2.601,0.063,2.838,22.595,,Y,Y
gfs_80m_speed_idw_roll_mean_24h,6.시간구조(lag/rolling),float64,100.0,3.506,2.484,0.063,2.815,22.595,,,Y
gfs_80m_speed_idw_roll_mean_3h,6.시간구조(lag/rolling),float64,100.0,3.615,2.786,0.063,2.822,22.845,,Y,
gfs_80m_speed_idw_roll_mean_6h,6.시간구조(lag/rolling),float64,100.0,3.615,2.726,0.063,2.83,22.595,Y,Y,Y
gfs_80m_speed_idw_roll_std_12h,6.시간구조(lag/rolling),float64,95.8,0.764,0.734,0.0,0.521,6.806,,,
gfs_80m_speed_idw_roll_std_24h,6.시간구조(lag/rolling),float64,95.8,0.831,0.802,0.0,0.573,7.397,,,
gfs_80m_speed_idw_roll_std_3h,6.시간구조(lag/rolling),float64,95.8,0.383,0.398,0.0,0.259,5.001,,,
gfs_80m_speed_idw_roll_std_6h,6.시간구조(lag/rolling),float64,95.8,0.579,0.561,0.0,0.397,6.38,,,
gfs_pbl_power_curve_idw_roll_mean_12h,6.시간구조(lag/rolling),float64,100.0,0.138,0.281,0.0,0.0,1.0,Y,,
gfs_pbl_power_curve_idw_roll_mean_24h,6.시간구조(lag/rolling),float64,100.0,0.132,0.267,0.0,0.0,1.0,Y,,Y
gfs_pbl_power_curve_idw_roll_mean_3h,6.시간구조(lag/rolling),float64,100.0,0.141,0.308,0.0,0.0,1.0,Y,,
gfs_pbl_power_curve_idw_roll_mean_6h,6.시간구조(lag/rolling),float64,100.0,0.142,0.297,0.0,0.0,1.0,,,
gfs_pbl_power_curve_idw_roll_std_12h,6.시간구조(lag/rolling),float64,95.8,0.07,0.137,0.0,0.0,0.707,Y,,
gfs_pbl_power_curve_idw_roll_std_24h,6.시간구조(lag/rolling),float64,95.8,0.079,0.146,0.0,0.0,0.707,,,Y
gfs_pbl_power_curve_idw_roll_std_3h,6.시간구조(lag/rolling),float64,95.8,0.03,0.091,0.0,0.0,0.707,Y,,
gfs_pbl_power_curve_idw_roll_std_6h,6.시간구조(lag/rolling),float64,95.8,0.05,0.115,0.0,0.0,0.707,,,Y
gfs_pbl_speed_idw_roll_mean_12h,6.시간구조(lag/rolling),float64,100.0,4.539,4.718,0.041,2.613,34.922,Y,Y,
gfs_pbl_speed_idw_roll_mean_24h,6.시간구조(lag/rolling),float64,100.0,4.398,4.569,0.041,2.538,34.922,Y,Y,Y
gfs_pbl_speed_idw_roll_mean_3h,6.시간구조(lag/rolling),float64,100.0,4.606,4.974,0.041,2.545,35.585,Y,Y,
gfs_pbl_speed_idw_roll_mean_6h,6.시간구조(lag/rolling),float64,100.0,4.61,4.887,0.041,2.594,34.922,,,
gfs_pbl_speed_idw_roll_std_12h,6.시간구조(lag/rolling),float64,95.8,1.217,1.334,0.0,0.699,12.094,,,
gfs_pbl_speed_idw_roll_std_24h,6.시간구조(lag/rolling),float64,95.8,1.364,1.529,0.0,0.742,12.661,Y,,
gfs_pbl_speed_idw_roll_std_3h,6.시간구조(lag/rolling),float64,95.8,0.581,0.72,0.0,0.319,9.791,,,
gfs_pbl_speed_idw_roll_std_6h,6.시간구조(lag/rolling),float64,95.8,0.899,1.008,0.0,0.513,11.747,Y,,
ldaps_10m_power_curve_idw_roll_mean_12h,6.시간구조(lag/rolling),float64,100.0,0.078,0.168,0.0,0.007,1.0,,,
ldaps_10m_power_curve_idw_roll_mean_24h,6.시간구조(lag/rolling),float64,100.0,0.076,0.161,0.0,0.008,1.0,Y,Y,Y
ldaps_10m_power_curve_idw_roll_mean_3h,6.시간구조(lag/rolling),float64,100.0,0.079,0.181,0.0,0.005,1.0,Y,Y,Y
ldaps_10m_power_curve_idw_roll_mean_6h,6.시간구조(lag/rolling),float64,100.0,0.079,0.176,0.0,0.006,1.0,Y,Y,Y
ldaps_10m_power_curve_idw_roll_std_12h,6.시간구조(lag/rolling),float64,95.8,0.039,0.076,0.0,0.006,0.557,,,Y
ldaps_10m_power_curve_idw_roll_std_24h,6.시간구조(lag/rolling),float64,95.8,0.044,0.082,0.0,0.007,0.557,Y,Y,Y
ldaps_10m_power_curve_idw_roll_std_3h,6.시간구조(lag/rolling),float64,95.8,0.02,0.046,0.0,0.002,0.557,,,
ldaps_10m_power_curve_idw_roll_std_6h,6.시간구조(lag/rolling),float64,95.8,0.029,0.06,0.0,0.004,0.557,Y,,
ldaps_10m_speed_idw_roll_mean_12h,6.시간구조(lag/rolling),float64,100.0,4.814,2.295,0.179,4.327,16.15,Y,Y,Y
ldaps_10m_speed_idw_roll_mean_24h,6.시간구조(lag/rolling),float64,100.0,4.784,2.226,0.179,4.319,16.15,Y,Y,Y
ldaps_10m_speed_idw_roll_mean_3h,6.시간구조(lag/rolling),float64,100.0,4.825,2.417,0.179,4.347,16.929,Y,Y,Y
ldaps_10m_speed_idw_roll_mean_6h,6.시간구조(lag/rolling),float64,100.0,4.827,2.37,0.179,4.344,16.17,Y,Y,Y
ldaps_10m_speed_idw_roll_std_12h,6.시간구조(lag/rolling),float64,95.8,0.778,0.51,0.0,0.677,5.686,Y,Y,Y
ldaps_10m_speed_idw_roll_std_24h,6.시간구조(lag/rolling),float64,95.8,0.854,0.568,0.0,0.746,5.686,Y,Y,Y
ldaps_10m_speed_idw_roll_std_3h,6.시간구조(lag/rolling),float64,95.8,0.427,0.345,0.0,0.334,3.321,,,
ldaps_10m_speed_idw_roll_std_6h,6.시간구조(lag/rolling),float64,95.8,0.606,0.414,0.0,0.508,5.354,Y,,Y
wake_alignment_cos_g1g2,7.웨이크(g2),float64,100.0,0.342,0.711,-1.0,0.778,1.0,,Y,
wake_deficit_proxy_g1g2,7.웨이크(g2),float64,100.0,0.225,0.205,0.0,0.215,1.079,,Y,
wake_sector_exposure_g1g2,7.웨이크(g2),float64,100.0,0.053,0.162,0.0,0.0,0.998,,Y,
gfs_100m_grid_cv,8.물리(미채택),float64,100.0,0.384,0.19,0.04,0.346,1.701,,,
gfs_100m_grid_range,8.물리(미채택),float64,100.0,3.979,2.366,0.361,3.349,24.54,,,
gfs_100m_grid_std,8.물리(미채택),float64,100.0,1.282,0.759,0.14,1.081,7.809,,,
gfs_10m_grid_cv,8.물리(미채택),float64,100.0,0.442,0.201,0.042,0.402,1.745,,,
gfs_10m_grid_range,8.물리(미채택),float64,100.0,3.345,1.799,0.311,2.939,19.877,,,
gfs_10m_grid_std,8.물리(미채택),float64,100.0,1.053,0.547,0.109,0.936,6.257,,,
gfs_air_density,8.물리(미채택),float64,100.0,1.154,0.047,1.053,1.151,1.293,,,
gfs_rho_v3_100m,8.물리(미채택),float64,100.0,121.97,385.342,0.0,14.241,8670.807,,,
gfs_rho_v3_hub,8.물리(미채택),float64,100.0,137.769,435.047,0.0,15.318,9742.454,,,
gfs_shear_alpha_10_100,8.물리(미채택),float64,100.0,0.17,0.116,-1.271,0.178,1.534,,,
gfs_shear_alpha_80_100,8.물리(미채택),float64,100.0,0.177,0.236,-6.708,0.178,5.159,,,
gfs_veer_cos_10_100,8.물리(미채택),float64,100.0,0.966,0.165,-1.0,0.998,1.0,,,
ldaps_10m_grid_cv,8.물리(미채택),float64,100.0,0.18,0.101,0.009,0.166,0.866,,,
ldaps_10m_grid_range,8.물리(미채택),float64,100.0,2.456,1.311,0.145,2.209,10.62,,,
ldaps_10m_grid_std,8.물리(미채택),float64,100.0,0.745,0.407,0.037,0.669,3.312,,,
ldaps_10m_secspeed_0,8.물리(미채택),float64,100.0,0.152,0.852,0.0,0.0,11.052,,,
ldaps_10m_secspeed_1,8.물리(미채택),float64,100.0,0.581,1.542,0.0,0.0,10.805,,,
ldaps_10m_secspeed_2,8.물리(미채택),float64,100.0,0.2,0.813,0.0,0.0,13.019,,,
ldaps_10m_secspeed_3,8.물리(미채택),float64,100.0,0.158,0.782,0.0,0.0,12.546,,,
ldaps_10m_secspeed_4,8.물리(미채택),float64,100.0,0.17,0.971,0.0,0.0,13.571,,,
ldaps_10m_secspeed_5,8.물리(미채택),float64,100.0,2.795,3.386,0.0,0.0,17.077,,,
ldaps_10m_secspeed_6,8.물리(미채택),float64,100.0,0.725,1.894,0.0,0.0,14.366,,,
ldaps_10m_secspeed_7,8.물리(미채택),float64,100.0,0.048,0.43,0.0,0.0,16.856,,,
ldaps_air_density,8.물리(미채택),float64,100.0,1.122,0.045,1.035,1.117,1.254,,,
ldaps_density_ratio,8.물리(미채택),float64,100.0,0.916,0.036,0.845,0.912,1.024,,,
ldaps_rho_v3_10m,8.물리(미채택),float64,100.0,120.71,198.513,0.0,46.215,2834.359,,,
ldaps_rho_v3_hub,8.물리(미채택),float64,100.0,346.368,569.616,0.0,132.61,8132.962,,,
scada_pc_gfs_hub,8.물리(미채택),float64,100.0,0.114,0.245,0.0,0.0,1.0,,,
scada_pc_ldaps_hub,8.물리(미채택),float64,100.0,0.319,0.331,0.0,0.184,1.0,,,
dayofweek,"9.캘린더(PhaseA,미채택)",int32,100.0,3.0,2.002,0.0,3.0,6.0,,,
dayofweek_cos,"9.캘린더(PhaseA,미채택)",float64,100.0,0.002,0.707,-0.901,-0.223,1.0,,,
dayofweek_sin,"9.캘린더(PhaseA,미채택)",float64,100.0,-0.001,0.707,-0.975,0.0,0.975,,,
dayofyear,"9.캘린더(PhaseA,미채택)",int32,100.0,183.167,105.465,1.0,183.0,366.0,,,
dayofyear_cos,"9.캘린더(PhaseA,미채택)",float64,100.0,0.001,0.707,-1.0,0.004,1.0,,,
dayofyear_sin,"9.캘린더(PhaseA,미채택)",float64,100.0,0.0,0.707,-1.0,0.0,1.0,,,
hour,"9.캘린더(PhaseA,미채택)",int32,100.0,11.5,6.922,0.0,11.5,23.0,,,
hour_cos,"9.캘린더(PhaseA,미채택)",float64,100.0,-0.0,0.707,-1.0,-0.0,1.0,,,
hour_sin,"9.캘린더(PhaseA,미채택)",float64,100.0,-0.0,0.707,-1.0,0.0,1.0,,,
lead_hours,"9.캘린더(PhaseA,미채택)",float64,100.0,23.5,6.922,12.0,23.5,35.0,,,
month,"9.캘린더(PhaseA,미채택)",int32,100.0,6.522,3.449,1.0,7.0,12.0,,,
month_cos,"9.캘린더(PhaseA,미채택)",float64,100.0,-0.002,0.708,-1.0,-0.0,1.0,,,
month_sin,"9.캘린더(PhaseA,미채택)",float64,100.0,-0.005,0.706,-1.0,-0.0,1.0,,,
gfs_ws_hub_est,"9.허브외삽(PhaseA,미채택)",float64,100.0,3.924,3.15,0.006,2.98,25.558,,,
gfs_ws_hub_est_cubed,"9.허브외삽(PhaseA,미채택)",float64,100.0,236.448,745.328,0.0,26.465,16694.532,,,
gfs_ws_hub_fixed,"9.허브외삽(PhaseA,미채택)",float64,100.0,3.877,3.077,0.016,2.976,25.142,,,
gfs_ws_hub_fixed_cubed,"9.허브외삽(PhaseA,미채택)",float64,100.0,223.925,706.247,0.0,26.347,15892.343,,,
ldaps_ws_hub_fixed,"9.허브외삽(PhaseA,미채택)",float64,100.0,6.861,3.492,0.087,6.179,24.267,,,
ldaps_ws_hub_fixed_cubed,"9.허브외삽(PhaseA,미채택)",float64,100.0,612.623,1005.381,0.001,235.871,14289.994,,,
